검색어,검색 날짜,뉴스 개수
용산 참사,2009.01.10,0
용산 참사,2009.01.11,0
용산 참사,2009.01.12,0
용산 참사,2009.01.13,0
용산 참사,2009.01.14,0
용산 참사,2009.01.15,0
용산 참사,2009.01.16,0
용산 참사,2009.01.17,0
용산 참사,2009.01.18,0
용산 참사,2009.01.19,0
용산 참사,2009.01.20,297
용산 참사,2009.01.21,923
용산 참사,2009.01.22,910
용산 참사,2009.01.23,743
용산 참사,2009.01.24,246
용산 참사,2009.01.25,87
용산 참사,2009.01.26,123
용산 참사,2009.01.27,144
용산 참사,2009.01.28,479
용산 참사,2009.01.29,496
용산 참사,2009.01.30,348
용산 참사,2009.01.31,202
용산 참사,2009.02.01,312
용산 참사,2009.02.02,450
용산 참사,2009.02.03,410
용산 참사,2009.02.04,365
용산 참사,2009.02.05,357
용산 참사,2009.02.06,235
용산 참사,2009.02.07,152
용산 참사,2009.02.08,140
용산 참사,2009.02.09,826
용산 참사,2009.02.10,716
용산 참사,2009.02.11,628
용산 참사,2009.02.12,173
용산 참사,2009.02.13,246
용산 참사,2009.02.14,104
용산 참사,2009.02.15,143
용산 참사,2009.02.16,166
용산 참사,2009.02.17,68
용산 참사,2009.02.18,126
용산 참사,2009.02.19,69
용산 참사,2009.02.20,66
용산 참사,2009.02.21,24
용산 참사,2009.02.22,42
용산 참사,2009.02.23,80
용산 참사,2009.02.24,92
용산 참사,2009.02.25,61
용산 참사,2009.02.26,46
용산 참사,2009.02.27,21
용산 참사,2009.02.28,34
용산 참사,2009.03.01,16
용산 참사,2009.03.02,28
용산 참사,2009.03.03,24
용산 참사,2009.03.04,20
용산 참사,2009.03.05,56
용산 참사,2009.03.06,31
용산 참사,2009.03.07,8
용산 참사,2009.03.08,52
용산 참사,2009.03.09,161
용산 참사,2009.03.10,47
