검색어,검색 날짜,뉴스 개수
장자연,2019.01.10,2
장자연,2019.01.11,10
장자연,2019.01.12,1
장자연,2019.01.13,0
장자연,2019.01.14,0
장자연,2019.01.15,3
장자연,2019.01.16,3
장자연,2019.01.17,0
장자연,2019.01.18,0
장자연,2019.01.19,0
장자연,2019.01.20,0
장자연,2019.01.21,5
장자연,2019.01.22,2
장자연,2019.01.23,0
장자연,2019.01.24,3
장자연,2019.01.25,1
장자연,2019.01.26,0
장자연,2019.01.27,0
장자연,2019.01.28,10
장자연,2019.01.29,7
장자연,2019.01.30,1
장자연,2019.01.31,1
장자연,2019.02.01,0
장자연,2019.02.02,1
장자연,2019.02.03,0
장자연,2019.02.04,0
장자연,2019.02.05,1
장자연,2019.02.06,1
장자연,2019.02.07,0
장자연,2019.02.08,2
장자연,2019.02.09,1
장자연,2019.02.10,1
장자연,2019.02.11,0
장자연,2019.02.12,0
장자연,2019.02.13,3
장자연,2019.02.14,0
장자연,2019.02.15,1
장자연,2019.02.16,0
장자연,2019.02.17,1
장자연,2019.02.18,0
장자연,2019.02.19,0
장자연,2019.02.20,2
장자연,2019.02.21,0
장자연,2019.02.22,0
장자연,2019.02.23,0
장자연,2019.02.24,0
장자연,2019.02.25,1
장자연,2019.02.26,4
장자연,2019.02.27,1
장자연,2019.02.28,4
장자연,2019.03.01,0
장자연,2019.03.02,0
장자연,2019.03.03,0
장자연,2019.03.04,1
장자연,2019.03.05,231
장자연,2019.03.06,109
장자연,2019.03.07,133
장자연,2019.03.08,87
장자연,2019.03.09,10
장자연,2019.03.10,10
장자연,2019.03.11,13
장자연,2019.03.12,142
장자연,2019.03.13,212
장자연,2019.03.14,106
장자연,2019.03.15,377
장자연,2019.03.16,206
장자연,2019.03.17,51
장자연,2019.03.18,957
장자연,2019.03.19,1228
장자연,2019.03.20,431
장자연,2019.03.21,251
장자연,2019.03.22,246
장자연,2019.03.23,149
장자연,2019.03.24,75
장자연,2019.03.25,286
장자연,2019.03.26,174
장자연,2019.03.27,186
장자연,2019.03.28,136
장자연,2019.03.29,89
장자연,2019.03.30,26
장자연,2019.03.31,151
장자연,2019.04.01,292
장자연,2019.04.02,349
장자연,2019.04.03,97
장자연,2019.04.04,178
장자연,2019.04.05,48
장자연,2019.04.06,10
장자연,2019.04.07,11
장자연,2019.04.08,400
장자연,2019.04.09,47
장자연,2019.04.10,28
장자연,2019.04.11,30
장자연,2019.04.12,37
장자연,2019.04.13,10
장자연,2019.04.14,83
장자연,2019.04.15,95
장자연,2019.04.16,24
장자연,2019.04.17,14
장자연,2019.04.18,22
장자연,2019.04.19,11
장자연,2019.04.20,3
장자연,2019.04.21,4
장자연,2019.04.22,10
장자연,2019.04.23,611
장자연,2019.04.24,360
장자연,2019.04.25,73
장자연,2019.04.26,100
장자연,2019.04.27,44
장자연,2019.04.28,70
장자연,2019.04.29,77
장자연,2019.04.30,94
장자연,2019.05.01,36
장자연,2019.05.02,28
장자연,2019.05.03,41
장자연,2019.05.04,19
장자연,2019.05.05,14
장자연,2019.05.06,15
장자연,2019.05.07,18
장자연,2019.05.08,24
장자연,2019.05.09,24
장자연,2019.05.10,16
장자연,2019.05.11,6
장자연,2019.05.12,10
장자연,2019.05.13,104
장자연,2019.05.14,63
장자연,2019.05.15,55
장자연,2019.05.16,16
장자연,2019.05.17,13
장자연,2019.05.18,8
장자연,2019.05.19,13
장자연,2019.05.20,656
장자연,2019.05.21,253
장자연,2019.05.22,167
장자연,2019.05.23,34
장자연,2019.05.24,90
장자연,2019.05.25,19
장자연,2019.05.26,10
장자연,2019.05.27,24
